😀  Grinning Face
🙍‍♀️  Woman Frowning
🙎  Person Pouting
🙎‍♂️  Man Pouting
🙎‍♀️  Woman Pouting
🙅  Person Gesturing No
🙅‍♂️  Man Gesturing No
🙅‍♀️  Woman Gesturing No
🙆  Person Gesturing OK
🙆‍♂️  Man Gesturing OK
🙆‍♀️  Woman Gesturing OK
💁  Person Tipping Hand
💁‍♂️  Man Tipping Hand
💁‍♀️  Woman Tipping Hand
🙋  Person Raising Hand
🙋‍♂️  Man Raising Hand
🙋‍♀️  Woman Raising Hand
🧏  Deaf Person
🧏‍♂️  Deaf Man
🧏‍♀️  Deaf Woman
🙇  Person Bowing
🙇‍♂️  Man Bowing
🙇‍♀️  Woman Bowing
🤦  Person Facepalming
🤦‍♂️  Man Facepalming
🤦‍♀️  Woman Facepalming
🤷  Person Shrugging
🤷‍♂️  Man Shrugging
🤷‍♀️  Woman Shrugging  ---
🤱  Breast-Feeding
👩‍🍼  Woman Feeding Baby
🧑‍🍼  Person Feeding Baby
💆  Person Getting Massage
💆‍♂️  Man Getting Massage
💆‍♀️  Woman Getting Massage
💇  Person Getting Haircut
💇‍♂️  Man Getting Haircut
💇‍♀️  Woman Getting Haircut
🚶  Person Walking
🚶‍♂️  Man Walking
🚶‍♀️  Woman Walking
🧍  Person Standing
🧍‍♂️  Man Standing
🧍‍♀️  Woman Standing
🧎  Person Kneeling
🧎‍♂️  Man Kneeling
🧎‍♀️  Woman Kneeling
🧑‍🦯  Person with White Cane
👨‍🦯  Man with White Cane
👩‍🦯  Woman with White Cane
🧑‍🦼  Person in Motorized Wheelchair
👨‍🦼  Man in Motorized Wheelchair
👩‍🦼  Woman in Motorized Wheelchair
🧑‍🦽  Person in Manual Wheelchair
👨‍🦽  Man in Manual Wheelchair
👩‍🦽  Woman in Manual Wheelchair
🏃  Person Running
🏃‍♂️  Man Running
🏃‍♀️  Woman Running
💃  Woman Dancing
🕺  Man Dancing
🕴️  Person in Suit Levitating
👯  People with Bunny Ears
👯‍♂️  Men with Bunny Ears
👯‍♀️  Women with Bunny Ears
🧖  Person in Steamy Room
🧖‍♂️  Man in Steamy Room
🧖‍♀️  Woman in Steamy Room
🧗  Person Climbing
🧗‍♂️  Man Climbing
🧗‍♀️  Woman Climbing
🤺  Person Fencing
🏇  Horse Racing
⛷️  Skier
🏂  Snowboarder
🏌️  Person Golfing
🏌️‍♂️  Man Golfing
🏌️‍♀️  Woman Golfing
🏄  Person Surfing
🏄‍♂️  Man Surfing
🏄‍♀️  Woman Surfing
🚣  Person Rowing Boat
🚣‍♂️  Man Rowing Boat
🚣‍♀️  Woman Rowing Boat
🏊  Person Swimming
🏊‍♂️  Man Swimming
🏊‍♀️  Woman Swimming
⛹️  Person Bouncing Ball
⛹️‍♂️  Man Bouncing Ball
⛹️‍♀️  Woman Bouncing Ball
🏋️  Person Lifting Weights
🏋️‍♂️  Man Lifting Weights
🏋️‍♀️  Woman Lifting Weights
🚴  Person Biking
🚴‍♂️  Man Biking
🚴‍♀️  Woman Biking
🚵  Person Mountain Biking
🚵‍♂️  Man Mountain Biking
🚵‍♀️  Woman Mountain Biking
🤸  Person Cartwheeling
🤸‍♂️  Man Cartwheeling
🤸‍♀️  Woman Cartwheeling
🤼  People Wrestling
🤼‍♂️  Men Wrestling
🤼‍♀️  Women Wrestling
🤽  Person Playing Water Polo
🤽‍♂️  Man Playing Water Polo
🤽‍♀️  Woman Playing Water Polo
🤾  Person Playing Handball
🤾‍♂️  Man Playing Handball
🤾‍♀️  Woman Playing Handball
🤹  Person Juggling
🤹‍♂️  Man Juggling
🤹‍♀️  Woman Juggling
🧘  Person in Lotus Position
🧘‍♂️  Man in Lotus Position
🧘‍♀️  Woman in Lotus Position
🛀  Person Taking Bath
🛌  Person in Bed  ---
🧑‍⚕️  Health Worker
👨‍⚕️  Man Health Worker
👩‍⚕️  Woman Health Worker
🧑‍🎓  Student
👨‍🎓  Man Student
👩‍🎓  Woman Student
🧑‍🏫  Teacher
👨‍🏫  Man Teacher
👩‍🏫  Woman Teacher
🧑‍⚖️  Judge
👨‍⚖️  Man Judge
👩‍⚖️  Woman Judge
🧑‍🌾  Farmer
👨‍🌾  Man Farmer
👩‍🌾  Woman Farmer
🧑‍🍳  Cook
👨‍🍳  Man Cook
👩‍🍳  Woman Cook
🧑‍🔧  Mechanic
👨‍🔧  Man Mechanic
👩‍🔧  Woman Mechanic
🧑‍🏭  Factory Worker
👨‍🏭  Man Factory Worker
👩‍🏭  Woman Factory Worker
🧑‍💼  Office Worker
👨‍💼  Man Office Worker
👩‍💼  Woman Office Worker
🧑‍🔬  Scientist
👨‍🔬  Man Scientist
👩‍🔬  Woman Scientist
🧑‍💻  Technologist
👨‍💻  Man Technologist
👩‍💻  Woman Technologist
🧑‍🎤  Singer
👨‍🎤  Man Singer
👩‍🎤  Woman Singer
🧑‍🎨  Artist
👨‍🎨  Man Artist
👩‍🎨  Woman Artist
🧑‍✈️  Pilot
👨‍✈️  Man Pilot
🧑‍🚀  Astronaut
👨‍🚀  Man Astronaut
👩‍🚀  Woman Astronaut
🧑‍🚒  Firefighter
👨‍🚒  Man Firefighter
👩‍🚒  Woman Firefighter
👮  Police Officer
👮‍♂️  Man Police Officer
👮‍♀️  Woman Police Officer
🕵️  Detective
🕵️‍♂️  Man Detective
🕵️‍♀️  Woman Detective
💂  Guard
💂‍♂️  Man Guard
💂‍♀️  Woman Guard
🥷  Ninja
👷  Construction Worker
👷‍♂️  Man Construction Worker
👷‍♀️  Woman Construction Worker
🫅  Person with Crown
🤴  Prince
👸  Princess
🤵  Person in Tuxedo
🤵‍♂️  Man in Tuxedo
🤵‍♀️  Woman in Tuxedo
👰  Person with Veil
👰‍♂️  Man with Veil
👰‍♀️  Woman with Veil
🎅  Santa Claus
🤶  Mrs. Claus
🧑‍🎄  Mx Claus
🦸  Superhero
🦸‍♂️  Man Superhero
🦸‍♀️  Woman Superhero
🦹  Supervillain
🦹‍♂️  Man Supervillain
🦹‍♀️  Woman Supervillain
🧙  Mage
🧙‍♂️  Man Mage
🧙‍♀️  Woman Mage
🧚  Fairy
🧚‍♂️  Man Fairy
🧚‍♀️  Woman Fairy
🧛  Vampire
🧛‍♂️  Man Vampire
🧛‍♀️  Woman Vampire
🧜  Merperson
🧜‍♂️  Merman
🧜‍♀️  Mermaid
🧝  Elf
🧝‍♂️  Man Elf
🧝‍♀️  Woman Elf
🧞  Genie
🧞‍♂️  Man Genie
🧞‍♀️  Woman Genie
🧟  Zombie
🧟‍♂️  Man Zombie
🧟‍♀️  Woman Zombie
🧌  Troll
👯  People with Bunny Ears
👯‍♂️  Men with Bunny Ears
👯‍♀️  Women with Bunny Ears  ---
🧑‍🤝‍🧑  People Holding Hands
👭  Women Holding Hands
👫  Woman and Man Holding Hands
👬  Men Holding Hands
💏  Kiss
👩‍❤️‍💋‍👨  Kiss: Woman, Man
👨‍❤️‍💋‍👨  Kiss: Man, Man
👩‍❤️‍💋‍👩  Kiss: Woman, Woman
💑  Couple with Heart
👩‍❤️‍👨  Couple with Heart: Woman, Man
👨‍❤️‍👨  Couple with Heart: Man, Man
👩‍❤️‍👩  Couple with Heart: Woman, Woman
👨‍👩‍👦  Family: Man, Woman, Boy
👨‍👩‍👧  Family: Man, Woman, Girl
👨‍👩‍👧‍👦  Family: Man, Woman, Girl, Boy
👨‍👩‍👦‍👦  Family: Man, Woman, Boy, Boy
👨‍👩‍👧‍👧  Family: Man, Woman, Girl, Girl
👨‍👨‍👦  Family: Man, Man, Boy
👨‍👨‍👧  Family: Man, Man, Girl
👨‍👨‍👧‍👦  Family: Man, Man, Girl, Boy
👨‍👨‍👦‍👦  Family: Man, Man, Boy, Boy
👨‍👨‍👧‍👧  Family: Man, Man, Girl, Girl
👩‍👩‍👦  Family: Woman, Woman, Boy
👩‍👩‍👧  Family: Woman, Woman, Girl
👩‍👩‍👧‍👦  Family: Woman, Woman, Girl, Boy
👩‍👩‍👦‍👦  Family: Woman, Woman, Boy, Boy
👩‍👩‍👧‍👧  Family: Woman, Woman, Girl, Girl
👨‍👦  Family: Man, Boy
👨‍👦‍👦  Family: Man, Boy, Boy
👨‍👧  Family: Man, Girl
👨‍👧‍👦  Family: Man, Girl, Boy
👨‍👧‍👧  Family: Man, Girl, Girl
👩‍👦  Family: Woman, Boy
👩‍👦‍👦  Family: Woman, Boy, Boy
👩‍👧  Family: Woman, Girl
👩‍👧‍👦  Family: Woman, Girl, Boy
👩‍👧‍👧  Family: Woman, Girl, Girl
👪  Family
👨‍👦‍👧  Family: Man, Boy, Girl
👨‍👨‍👦‍👧  Family: Man, Man, Boy, Girl
👨‍👩‍👦‍👧  Family: Man, Woman, Boy, Girl
👩‍👦‍👧  Family: Woman, Boy, Girl
👩‍👨‍👦  Family: Woman, Man, Boy
👩‍👨‍👦‍👦  Family: Woman, Man, Boy, Boy
👩‍👨‍👦‍👧  Family: Woman, Man, Boy, Girl
👩‍👨‍👧  Family: Woman, Man, Girl
👩‍👨‍👧‍👦  Family: Woman, Man, Girl, Boy
👩‍👨‍👧‍👧  Family: Woman, Man, Girl, Girl
👩‍👩‍👦‍👧  Family: Woman, Woman, Boy, Girl
---
🐵  (animal) Monkey Face
🐒  (animal) Monkey
🦍  (animal) Gorilla
🦧  (animal) Orangutan
🐶  (animal) Dog Face
🐕  (animal) Dog
🦮  (animal) Guide Dog
🐕‍🦺  (animal) Service Dog
🐩  (animal) Poodle
🐺  (animal) Wolf
🦊  (animal) Fox
🦝  (animal) Raccoon
🐱  (animal) Cat Face
🐈  (animal) Cat
🐈‍⬛  (animal) Black Cat
🦁  (animal) Lion
🐯  (animal) Tiger Face
🐅  (animal) Tiger
🐆  (animal) Leopard
🐴  (animal) Horse Face
🫎  (animal) Moose
🫏  (animal) Donkey
🐎  (animal) Horse
🦄  (animal) Unicorn
🦓  (animal) Zebra
🦌  (animal) Deer
🦬  (animal) Bison
🐮  (animal) Cow Face
🐂  (animal) Ox
🐃  (animal) Water Buffalo
🐄  (animal) Cow
🐷  (animal) Pig Face
🐖  (animal) Pig
🐗  (animal) Boar
🐽  (animal) Pig Nose
🐏  (animal) Ram
🐑  (animal) Ewe
🐐  (animal) Goat
🐪  (animal) Camel
🐫  (animal) Two-Hump Camel
🦙  (animal) Llama
🦒  (animal) Giraffe
🐘  (animal) Elephant
🦣  (animal) Mammoth
🦏  (animal) Rhinoceros
🦛  (animal) Hippopotamus
🐭  (animal) Mouse Face
🐁  (animal) Mouse
🐀  (animal) Rat
🐹  (animal) Hamster
🐰  (animal) Rabbit Face
🐇  (animal) Rabbit
🐿️  (animal) Chipmunk
🦫  (animal) Beaver
🦔  (animal) Hedgehog
🦇  (animal) Bat
🐻  (animal) Bear
🐻‍❄️  (animal) Polar Bear
🐨  (animal) Koala
🐼  (animal) Panda
🦥  (animal) Sloth
🦦  (animal) Otter
🦨  (animal) Skunk
🦘  (animal) Kangaroo
🦡  (animal) Badger
🐾  (animal) Paw Prints
---
🦃  (bird) Turkey
🐔  (bird) Chicken
🐓  (bird) Rooster
🐣  (bird) Hatching Chick
🐤  (bird) Baby Chick
🐥  (bird) Front-Facing Baby Chick
🐦  (bird) Bird
🐧  (bird) Penguin
🕊️  (bird) Dove
🦅  (bird) Eagle
🦆  (bird) Duck
🦢  (bird) Swan
🦉  (bird) Owl
🦤  (bird) Dodo
🪶  (bird) Feather
🦩  (bird) Flamingo
🦚  (bird) Peacock
🦜  (bird) Parrot
🪽  (bird) Wing
🐦‍⬛  (bird) Black Bird
🪿  (bird) Goose
🪹  (bird) Empty Nest
🪺  (bird) Nest with Eggs  ---
🐸  (animal) Frog
🐊  (animal) Crocodile
🐢  (animal) Turtle
🦎  (animal) Lizard
🐍  (animal) Snake
🐲  (animal) Dragon Face
🐉  (animal) Dragon
🦕  (animal) Sauropod
🦖  (animal) T-Rex
🐳  (fish) Spouting Whale
🐋  (fish) Whale
🐬  (fish) Dolphin
🦭  (fish) Seal
🐟  (fish) Fish
🐠  (fish) Tropical Fish
🐡  (fish) Blowfish
🦈  (fish) Shark
🐙  (fish) Octopus
🐚  (fish) Spiral Shell
🪸  (fish) Coral
🪼  (fish) Jellyfish
🦀  (fish) Crab
🦞  (fish) Lobster
🦐  (fish) Shrimp
🦑  (fish) Squid
🦪  Oyster
---
🐌  (insect) Snail
🦋  (insect) Butterfly
🐛  (insect) Bug
🐜  (insect) Ant
🐝  (insect) Honeybee
🪲  (insect) Beetle
🐞  (insect) Lady Beetle
🦗  (insect) Cricket
🪳  (insect) Cockroach
🕷️  (insect) Spider
🕸️  (insect) Spider Web
🦂  (insect) Scorpion
🦟  (insect) Mosquito
🪰  (insect) Fly
🪱  (insect) Worm
🦠  (virus,bacteria) Microbe  ---
💐  (flower) Bouquet
🌸  (flower) Cherry Blossom
💮  (flower) White Flower
🪷  (flower) Lotus
🏵️  (flower) Rosette
🌹  (flower) Rose
🥀  (flower) Wilted Flower
🌺  (flower) Hibiscus
🌻  (flower) Sunflower
🌼  (flower) Blossom
🌷  (flower) Tulip
🪻  (flower) Hyacinth
🌱  (plant) Seedling
🪴  (plant) Potted Plant
🌲  (plant) Evergreen Tree
🌳  (plant) Deciduous Tree
🌴  (plant) Palm Tree
🌵  (plant) Cactus
🌾  (plant) Sheaf of Rice
🌿  (plant) Herb
☘️  (plant) Shamrock
🍀  (plant) Four Leaf Clover
🍁  (plant) Maple Leaf
🍂  (plant) Fallen Leaf
🍃  (plant) Leaf Fluttering in Wind
🍄  (plant) Mushroom
🪨  Rock
🪵  Wood  ---
🌑  New Moon
🌒  Waxing Crescent Moon
🌓  First Quarter Moon
🌔  Waxing Gibbous Moon
🌕  Full Moon
🌖  Waning Gibbous Moon
🌗  Last Quarter Moon
🌘  Waning Crescent Moon
🌙  Crescent Moon
🌚  New Moon Face
🌛  First Quarter Moon Face
🌜  Last Quarter Moon Face
☀️  Sun
🌝  Full Moon Face
🌞  Sun with Face
🪐  Ringed Planet
⭐  Star
🌟  Glowing Star
🌠  Shooting Star
🌌  Milky Way
☁️  (weather) Cloud
⛅  (weather) Sun Behind Cloud
⛈️  (weather) Cloud with Lightning and Rain
🌤️  (weather) Sun Behind Small Cloud
🌥️  (weather) Sun Behind Large Cloud
🌦️  (weather) Sun Behind Rain Cloud
🌧️  (weather) Cloud with Rain
🌨️  (weather) Cloud with Snow
🌩️  (weather) Cloud with Lightning
🌪️  (weather) Tornado
🌫️  (weather) Fog
🌬️  (weather) Wind Face
🌀  (weather) Cyclone
🌈  (weather) Rainbow
🌂  (weather) Closed Umbrella
☂️  (weather) Umbrella
☔  (weather) Umbrella with Rain Drops
⛱️  (weather) Umbrella on Ground
⚡  High Voltage
❄️  Snowflake
☃️  Snowman
⛄  Snowman Without Snow
☄️  Comet
🔥  Fire
💧  Droplet
🌊  Water Wave
---
🍇  (fruit) Grapes
🍈  (fruit) Melon
🍉  (fruit) Watermelon
🍊  (fruit) Tangerine
🍋  (fruit) Lemon
🍌  (fruit) Banana
🍍  (fruit) Pineapple
🥭  (fruit) Mango
🍎  (fruit) Red Apple
🍏  (fruit) Green Apple
🍐  (fruit) Pear
🍑  (fruit) Peach
🍒  (fruit) Cherries
🍓  (fruit) Strawberry
🫐  (fruit) Blueberries
🥝  (fruit) Kiwi Fruit
🍅  (fruit) Tomato
🫒  (fruit) Olive
🥥  (fruit) Coconut

🥑  (vegetable) Avocado
🍆  (vegetable) Eggplant
🥔  (vegetable) Potato
🥕  (vegetable) Carrot
🌽  (vegetable) Ear of Corn
🌶️  (vegetable) Hot Pepper
🫑  (vegetable) Bell Pepper
🥒  (vegetable) Cucumber
🥬  (vegetable) Leafy Green
🥦  (vegetable) Broccoli
🧄  (vegetable) Garlic
🧅  (vegetable) Onion
🥜  (vegetable) Peanuts
🫘  (vegetable) Beans
🌰  (vegetable) Chestnut
🫚  (vegetable) Ginger
🫛  (vegetable) Pea Pod

🍞  (food) Bread
🥐  (food) Croissant
🥖  (food) Baguette Bread
🫓  (food) Flatbread
🥨  (food) Pretzel
🥯  (food) Bagel
🥞  (food) Pancakes
🧇  (food) Waffle
🧀  (food) Cheese Wedge
🍖  (food) Meat on Bone
🍗  (food) Poultry Leg
🥩  (food) Cut of Meat
🥓  (food) Bacon
🍔  (food) Hamburger
🍟  (food) French Fries
🍕  (food) Pizza
🌭  (food) Hot Dog
🥪  (food) Sandwich
🌮  (food) Taco
🌯  (food) Burrito
🫔  (food) Tamale
🥙  (food) Stuffed Flatbread
🧆  (food) Falafel
🥚  (food) Egg
🍳  (food) Cooking
🥘  (food) Shallow Pan of Food
🍲  (food) Pot of Food
🫕  (food) Fondue
🥣  (food) Bowl with Spoon
🥗  (food) Green Salad
🍿  (food) Popcorn
🧈  (food) Butter
🧂  (food) Salt
🥫  (food) Canned Food
🍝  (food) Spaghetti  (food) Asian Foods
🍱  (food) Bento Box
🍘  (food) Rice Cracker
🍙  (food) Rice Ball
🍚  (food) Cooked Rice
🍛  (food) Curry Rice
🍜  (food) Steaming Bowl
🍠  (food) Roasted Sweet Potato
🍢  (food) Oden
🍣  (food) Sushi
🍤  (food) Fried Shrimp
🍥  (food) Fish Cake with Swirl
🥮  (food) Moon Cake
🍡  (food) Dango
🥟  (food) Dumpling
🥠  (food) Fortune Cookie
🥡  (food) Takeout Box  (food) Sweets & Desserts
🍦  (food) Soft Ice Cream
🍧  (food) Shaved Ice
🍨  (food) Ice Cream
🍩  (food) Doughnut
🍪  (food) Cookie
🎂  (food) Birthday Cake
🍰  (food) Shortcake
🧁  (food) Cupcake
🥧  (food) Pie
🍫  (food) Chocolate Bar
🍬  (food) Candy
🍭  (food) Lollipop
🍮  (food) Custard
🍯  (food) Honey Pot  (food) Drinks & Dishware
🍼  (food) Baby Bottle
🥛  (food) Glass of Milk
☕  (food) Hot Beverage
🫖  (food) Teapot
🍵  (food) Teacup Without Handle
🍶  (food) Sake
🍾  (food) Bottle with Popping Cork
🍷  (food) Wine Glass
🍸  (food) Cocktail Glass
🍹  (food) Tropical Drink
🍺  (food) Beer Mug
🍻  (food) Clinking Beer Mugs
🥂  (food) Clinking Glasses
🥃  (food) Tumbler Glass
🫗  (food) Pouring Liquid
🥤  (food) Cup with Straw
🧋  (food) Bubble Tea
🧃  (food) Beverage Box
🧉  (food) Mate
🥢  (food) Chopsticks
🍽️  (food) Fork and Knife with Plate
🍴  (food) Fork and Knife
🥄  (food) Spoon
🔪  (food) Kitchen Knife
🫙  (food) Jar
🏺  (food) Amphora
---
🎃  (celebrate) Jack-O-Lantern
🎄  (celebrate) Christmas Tree
🎆  (celebrate) Fireworks
🎇  (celebrate) Sparkler
🧨  (celebrate) Firecracker
✨  (celebrate) Sparkles
🎈  (celebrate) Balloon
🎉  (celebrate) Party Popper
🎊  (celebrate) Confetti Ball
🎋  (celebrate) Tanabata Tree
🎍  (celebrate) Pine Decoration
🎎  (celebrate) Japanese Dolls
🎏  (celebrate) Carp Streamer
🎐  (celebrate) Wind Chime
🎑  (celebrate) Moon Viewing Ceremony
🧧  (celebrate) Red Envelope
🎁  (celebrate) Wrapped Gift
🎟️  (celebrate) Admission Tickets
🎫  (celebrate) Ticket
🏮  (celebrate) Red Paper Lantern
🪔  (celebrate) Diya Lamp
🎖️  (sports) Military Medal
🏆  (sports) Trophy
🏅  (sports) Sports Medal
🥇  (sports) 1st Place Medal
🥈  (sports) 2nd Place Medal
🥉  (sports) 3rd Place Medal
⚽  (sports) Soccer Ball
⚾  (sports) Baseball
🥎  (sports) Softball
🏀  (sports) Basketball
🏐  (sports) Volleyball
🏈  (sports) American Football
🏉  (sports) Rugby Football
🎾  (sports) Tennis
🥏  (sports) Flying Disc
🎳  (sports) Bowling
🏏  (sports) Cricket Game
🏑  (sports) Field Hockey
🏒  (sports) Ice Hockey
🥍  (sports) Lacrosse
🏓  (sports) Ping Pong
🏸  (sports) Badminton
🥊  (sports) Boxing Glove
🥋  (sports) Martial Arts Uniform
🥅  (sports) Goal Net
⛳  (sports) Flag in Hole
⛸️  (sports) Ice Skate
🎣  (sports) Fishing Pole
🤿  (sports) Diving Mask
🎽  (sports) Running Shirt
🎿  (sports) Skis
🛷  (sports) Sled
🥌  (sports) Curling Stone
🎯  (sports) Bullseye
🪀  () Yo-Yo
🪁  () Kite
🔫  () Water Pistol
🎱  (games) Pool 8 Ball
🔮  () Crystal Ball
🪄  () Magic Wand
🎮  (games) Video Game
🕹️  (games) Joystick
🎰  (games) Slot Machine
🎲  (games) Game Die
🧩  (games) Puzzle Piece
🪅  () Piñata
🪩  () Mirror Ball
🪆  () Nesting Dolls
♠️  (games) Spade Suit
♥️  (games) Heart Suit
♦️  (games) Diamond Suit
♣️  (games) Club Suit
♟️  (games) Chess Pawn
🃏  (games) Joker
🀄  () Mahjong Red Dragon
🎴  () Flower Playing Cards
🎭  () Performing Arts
🖼️  () Framed Picture
🎨  () Artist Palette
---
🌍  (earth) Globe Showing Europe-Africa
🌎  (earth) Globe Showing Americas
🌏  (earth) Globe Showing Asia-Australia
🌐  (earth) Globe with Meridians
🗺️  (earth) World Map
🗾  (earth) Map of Japan
🧭  (earth) Compass
🏔️  (earth) Snow-Capped Mountain
⛰️  (earth) Mountain
🌋  (earth) Volcano
🗻  (earth) Mount Fuji
🏕️  (earth) Camping
🏖️  (earth) Beach with Umbrella
🏜️  (earth) Desert
🏝️  (earth) Desert Island
🏞️  (earth) National Park
🏟️  (building) Stadium
🏛️  (building) Classical Building
🏗️  (building) Building Construction
🧱  (building) Brick
🛖  (building) Hut
🏘️  (building) Houses
🏚️  (building) Derelict House
🏠  (building) House
🏡  (building) House with Garden
🏢  (building) Office Building
🏣  (building) Japanese Post Office
🏤  (building) Post Office
🏥  (building) Hospital
🏦  (building) Bank
🏨  (building) Hotel
